127.0.0.1 - - [04/Jul/2023:11:14:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/ HTTP/1.1" 200 10100
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/css/dataroom.css HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/css/gallery.css HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/css/member.css HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/css/index.css HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/css/sns.css HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/js/jQuery.js HTTP/1.1" 200 87462
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/js/gbraucp2Move.js HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/js/gbraucp2_jQuery.js HTTP/1.1" 200 2679
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/js/kwonValidChecker.js HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/js/gbraucp2Check.js HTTP/1.1" 200 4297
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/img/ball.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/img/backpack.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/img/Airport.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/img/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/img/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/img/write.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/img/ball.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/img/backpack.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/img/Airport.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/img/back.jpg HTTP/1.1" 200 1155326
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /gbraucp2/resources/css/scar.ttf HTTP/1.1" 200 2517620
0:0:0:0:0:0:0:1 - - [04/Jul/2023:11:14:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
195.168.9.6 - - [04/Jul/2023:15:01:43 +0900] "GET / HTTP/1.1" 404 807
195.168.9.6 - - [04/Jul/2023:15:01:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
195.168.9.43 - - [04/Jul/2023:17:39:39 +0900] "GET / HTTP/1.1" 404 807
195.168.9.43 - - [04/Jul/2023:17:39:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
